"Start_time","End_time","Rain_in","Int_in/15min","Int_in/hr","Flag"
2010-07-09 18:15:00,2010-07-09 23:30:00,0.67,0.2,0.8,"MODERATE"
2010-07-10 12:15:00,2010-07-10 14:00:00,0.03,0.02,0.08,"VERY SMALL"
2010-07-11 01:15:00,2010-07-11 02:15:00,0.02,0.01,0.04,"VERY SMALL"
2010-07-11 13:15:00,2010-07-11 13:15:00,0.01,0.01,0.04,"VERY SMALL"
2010-07-12 00:15:00,2010-07-12 05:00:00,0.17,0.14,0.56,"SMALL"
2010-07-12 22:30:00,2010-07-13 00:45:00,0.09,0.05,0.2,"VERY SMALL"
2010-07-13 07:15:00,2010-07-13 07:30:00,0.08,0.07,0.28,"VERY SMALL"
2010-07-13 18:15:00,2010-07-13 23:15:00,0.04,0.02,0.08,"VERY SMALL"
2010-07-14 07:00:00,2010-07-14 13:15:00,0.14,0.04,0.16,"SMALL"
2010-07-15 03:15:00,2010-07-15 04:30:00,0.07,0.03,0.12,"VERY SMALL"
2010-07-15 13:45:00,2010-07-15 13:45:00,0.01,0.01,0.04,"VERY SMALL"
2010-07-16 08:15:00,2010-07-16 13:00:00,0.11,0.08,0.32,"SMALL"
2010-07-17 05:00:00,2010-07-18 01:00:00,2.02,0.22,0.88,"LARGE"
2010-07-18 07:45:00,2010-07-18 10:00:00,0.2,0.08,0.32,"SMALL"
2010-07-18 23:45:00,2010-07-19 10:30:00,0.63,0.1,0.4,"MODERATE"
2010-07-20 01:00:00,2010-07-20 04:30:00,0.03,0.02,0.08,"VERY SMALL"
2010-07-21 07:45:00,2010-07-21 07:45:00,0.02,0.02,0.08,"VERY SMALL"
2010-07-22 02:00:00,2010-07-22 03:00:00,0.11,0.04,0.16,"SMALL"
2010-07-22 19:00:00,2010-07-23 09:00:00,0.75,0.13,0.52,"MODERATE"
2010-07-24 05:45:00,2010-07-24 05:45:00,0.02,0.02,0.08,"VERY SMALL"
